genero_musical;comida_favorita;filme_favorito;esporte_favorito;time;religiao;tem_filhos;idade;destino
0;0;3;2;3;0;1;37;Jogos
0;0;3;2;3;0;1;37;Teatro
0;1;0;1;2;0;0;37;Bar
0;1;0;1;2;0;0;37;Bar
0;0;1;1;2;0;0;36;Parque
0;0;1;2;1;0;1;36;Restaurante
0;2;0;1;0;0;0;23;Parque
0;0;0;1;0;0;1;22;Restaurante
0;0;0;1;0;0;1;22;Shopping
0;0;0;1;0;0;1;22;Museu
0;5;0;4;1;0;0;18;Cinema
0;5;0;4;1;0;0;18;Parque
0;5;0;4;1;0;0;18;Show
0;5;0;4;1;0;0;18;Museu
0;5;0;4;1;0;0;18;Teatro
0;5;3;2;3;0;1;27;Cinema
0;5;3;2;3;0;1;27;Restaurante
0;5;3;2;3;0;1;27;Parque
0;5;3;2;3;0;1;27;Shopping
0;5;3;2;3;0;1;27;Show
0;5;3;2;3;0;1;27;Bar
0;2;7;7;2;0;1;27;Parque
0;3;7;1;3;0;1;27;Shopping
0;5;8;4;3;0;0;19;Cinema
0;5;8;4;3;0;0;19;Restaurante
0;5;8;4;3;0;0;19;Shopping
0;5;8;4;3;0;0;19;Jogos
0;1;1;7;5;0;1;35;Cinema
0;1;1;4;5;0;1;42;Restaurante
0;1;1;4;5;0;1;42;Parque
0;1;1;4;5;0;1;42;Shopping
0;1;1;4;5;0;1;42;Bar
0;0;7;7;2;0;0;27;Cinema
0;0;7;7;2;0;0;27;Restaurante
0;0;7;7;2;0;0;27;Shopping
0;0;7;7;3;0;1;43;Restaurante
0;0;7;7;3;0;1;43;Parque
0;0;7;7;3;0;1;43;Shopping
0;0;7;7;3;0;1;43;Jogos
0;3;7;7;1;0;0;21;Restaurante
0;0;0;2;5;0;0;24;Cinema
0;0;0;2;5;0;0;24;Parque
0;0;0;2;5;0;0;24;Shopping
0;0;0;2;5;0;0;24;Jogos
0;5;1;7;5;0;0;22;Restaurante
0;5;1;7;5;0;0;22;Parque
0;5;1;7;5;0;0;22;Show
0;5;1;7;5;0;0;22;Jogos
0;4;8;2;3;0;0;18;Shopping
0;2;5;1;3;0;0;23;Cinema
0;2;5;1;3;0;0;23;Restaurante
0;2;5;1;3;0;0;23;Parque
0;2;5;1;3;0;0;23;Shopping
0;2;5;1;3;0;0;23;Show
0;2;5;1;3;0;0;23;Museu
0;2;5;1;3;0;0;23;Biblioteca
0;2;5;1;3;0;0;23;Jogos
0;2;5;1;3;0;0;23;Teatro
0;3;1;1;3;0;0;14;Shopping
0;4;5;2;4;0;1;41;Cinema
0;4;5;2;4;0;1;41;Restaurante
0;4;5;2;4;0;1;41;Parque
0;4;5;2;4;0;1;41;Shopping
0;4;5;2;4;0;1;41;Museu
0;4;5;2;4;0;1;41;Biblioteca
0;4;5;2;4;0;1;41;Jogos
0;4;5;2;4;0;1;41;Teatro
0;4;1;7;4;0;0;34;Cinema
0;4;1;7;4;0;0;34;Restaurante
0;4;1;7;4;0;0;34;Parque
0;4;1;7;4;0;0;34;Shopping
0;4;1;7;4;0;0;34;Show
0;4;1;7;4;0;0;34;Bar
0;4;8;2;4;0;0;28;Cinema
0;4;8;2;4;0;0;28;Restaurante
0;4;8;2;4;0;0;28;Parque
0;4;8;2;4;0;0;28;Shopping
0;4;8;2;4;0;0;28;Museu
0;4;8;2;4;0;0;28;Biblioteca
0;4;8;2;4;0;0;28;Jogos
0;4;8;2;4;0;0;28;OUTROS
0;4;0;2;4;0;0;21;Cinema
0;4;0;2;4;0;0;21;Restaurante
0;4;0;2;4;0;0;21;Parque
0;4;0;2;4;0;0;21;Shopping
0;4;0;2;4;0;0;21;Museu
0;4;0;2;4;0;0;21;Teatro
0;5;0;4;4;0;0;43;Restaurante
0;5;0;4;4;0;0;43;Parque
0;5;0;4;4;0;0;43;Biblioteca
0;5;0;4;4;0;0;43;Bar
0;0;6;1;4;0;0;18;Cinema
0;0;6;1;4;0;0;18;Shopping
0;0;6;1;4;0;0;18;Museu
0;0;6;1;4;0;0;18;Biblioteca
0;0;5;7;4;0;0;31;Cinema
